,Area_sq.ft,Price,Price_per_sq.ft,Locality,Booking_start,Agent_Name,Direction,parking,Type_BHK,Type_Of_House
89,1488,176.0,11875,Narsingi        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
90,1112,105.0,9442,Tellapur        ,8,SR Reddy,east,No,2BHK,Apartment
91,1350,22.5,1667,Kadthal        ,10,Urvashi Verma,north east,UnKnown,Plot,Plot
92,1466,120.0,8252,Swathi Avenue        ,27,Adarsh Singh,east,No,3BHK,Apartment
93,930,60.3,6484,Bahadurpally        ,17,Sarita Joshi,east,Yes,2BHK,Apartment
94,1562,80.13,5130,Ameenpur        ,25,Vasudha Singh,east,No,3BHK,Apartment
95,1488,176.0,11875,Narsingi        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
96,1485,26.0,1751,Kadthal        ,9,Yadavalligopi,east,UnKnown,Plot,Plot
97,1120,70.0,6250,Gajularamaram        ,5,Owner,west,Yes,2BHK,Apartment
98,1412,86.0,6091,Gajularamaram        ,5,OWNER,east,Yes,3BHK,Apartment
99,1232,75.0,6088,Gajularamaram        ,5,OWNER,north east,Yes,3BHK,Apartment
100,2400,85.0,3542,Shankarpalli        ,4,Srikanth,north east,UnKnown,Plot,Plot
101,1503,55.0,3659,Kompally        ,3,vanivas1017,east,UnKnown,Plot,Plot
102,1800,40.0,2222,Shankarpalli        ,3,vanivas1017,north east,UnKnown,Plot,Plot
103,2464,224.00000000000003,9125,Manchirevula        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
104,1800,9.5,528,Yadagirigutta        ,3,vanivas1017,north east,UnKnown,Plot,Plot
105,1500,40.0,2667,Tukkuguda        ,10,Yadavalligopi,east,UnKnown,Plot,Plot
106,7000,950.0,13571,Kokapet        ,7,Marketing Team,east,Yes,4BHK,Apartment
107,5425,750.0,13825,Jubilee Hills        ,7,Marketing Team,west,Yes,4BHK,Apartment
108,3000,400.0,13333,Nanakramguda        ,7,Marketing Team,north,Yes,4BHK,Apartment
109,2020,275.0,13614,Nanakramguda        ,7,Marketing Team,west,Yes,3BHK,Apartment
110,6000,700.0,11667,Kondapur        ,7,Marketing Team,east,No,4BHK,Apartment
111,1500,30.0,2000,Kadthal        ,10,Yadavalligopi,east,UnKnown,Plot,Plot
112,1647,47.58,2889,Adibatla        ,17,Mridul Verma,north east,UnKnown,Plot,Plot
113,1800,64.0,3556,Srisailam Highway        ,17,Neha Singh,east,UnKnown,Plot,Plot
114,1800,46.59,2589,Sadashivpet        ,17,Tarique Patel,west,UnKnown,Plot,Plot
115,1485,42.9,2889,Adibatla        ,17,Raghwendra Sharma,east,UnKnown,Plot,Plot
116,1350,34.94,2589,Shadnagar        ,17,Surjeet Mehta,east,UnKnown,Plot,Plot
117,2250,58.24,2589,Shadnagar        ,17,Abrar Agarwal,north,UnKnown,Plot,Plot
118,1863,46.57,2500,Adibatla        ,17,Aaditya Rao,east,UnKnown,Plot,Plot
119,1647,64.05,3889,Shankarpalli        ,17,Virat Patel,east,UnKnown,Plot,Plot
120,1884,177.0,9395,Tellapur        ,8,SR Reddy,east,Yes,3BHK,Apartment
121,1800,95.58,5310,Nacharam        ,10,Sapna Patel,east,Yes,3BHK,Apartment
122,1800,15.99,889,Kothur        ,19,Shirish,north,UnKnown,Plot,Plot
123,1087,76.83,7069,Adarsh Naga Colony-Kapra        ,11,Hary,east,Yes,3BHK,Apartment
124,1730,93.42,5400,Manasa Hills        ,10,Rajesh Tiwari,east,Yes,3BHK,Apartment
125,1647,47.58,2889,Adibatla        ,17,Mridul Verma,north east,UnKnown,Plot,Plot
126,1350,34.94,2589,Shadnagar        ,17,Surjeet Mehta,east,UnKnown,Plot,Plot
127,1467,22.82,1556,Ibrahimpatnam        ,17,Suryakant Kapoor,east,UnKnown,Plot,Plot
128,1800,52.0,2889,Adibatla        ,17,Vidya Singh,north east,UnKnown,Plot,Plot
129,1350,21.0,1556,Ibrahimpatnam        ,17,Nivedita Jain,east,UnKnown,Plot,Plot
130,1620,41.93,2589,Shadnagar        ,17,Kalpana Rao,east,UnKnown,Plot,Plot
131,2250,58.24,2589,Shadnagar        ,17,Abrar Agarwal,east,UnKnown,Plot,Plot
132,1647,64.05,3889,Shankarpalli        ,17,Virat Patel,north,UnKnown,Plot,Plot
133,1647,29.28,1778,Sultanpur        ,17,Prajeeth Verma,east,UnKnown,Plot,Plot
134,1863,46.57,2500,Adibatla        ,17,Aaditya Rao,east,UnKnown,Plot,Plot
135,1593,38.94,2444,Adibatla        ,17,Veena Iyer,north east,UnKnown,Plot,Plot
136,1500,41.0,2733,Tukkuguda        ,17,Govindam Mishra,east,UnKnown,Plot,Plot
137,1620,41.93,2589,Sadashivpet        ,17,Rekha Desai,north,UnKnown,Plot,Plot
138,2700,105.0,3889,Shankarpalli        ,17,Chirag Jain,west,UnKnown,Plot,Plot
139,1500,55.11,3674,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
140,1650,60.39,3660,Kongara Kalan        ,2,PV Srinvasulu,east,UnKnown,Plot,Plot
141,3600,495.0,13750,Kollur        ,2,House2home Property Solutions,south,Yes,4BHK,Villa
142,4400,605.0,13750,Kollur        ,2,House2home Property Solutions,north east,Yes,4BHK,Villa
143,2085,126.0,6050,Gandi Maisamma        ,2,Jprout,east,No,3BHK,Apartment
144,1999,138.0,6930,Chanda Nagar        ,2,Girish Nagarajarao,east,Yes,3BHK,Apartment
145,1000,115.0,11500,Manchirevula        ,3,YONAH PROPERTIES,west,Yes,2BHK,Apartment
146,2399,350.0,14589,Financial District        ,3,YONAH PROPERTIES,east,Yes,4BHK,Apartment
147,1822,200.0,10977,Tellapur        ,3,YONAH PROPERTIES,east,Yes,3BHK,Apartment
148,1500,41.0,2733,Tukkuguda        ,3,Yadavalligopi,south,UnKnown,Plot,Plot
149,2178,127.0,5845,Dammaiguda        ,2,Mahua,east,Yes,3BHK,Apartment
150,920,82.0,8913,Chanda Nagar        ,4,Asha,east,No,2BHK,Apartment
151,1750,165.0,9429,Friends Colony        ,10,Zuheb,east,Yes,3BHK,Apartment
152,1131,89.05,7874,Manikonda        ,19,Basupally Sunil Reddy,east,Yes,2BHK,Apartment
153,1376,111.0,8100,Bahadurguda        ,27,Deepak Rao,east,No,3BHK,Apartment
154,2343,261.0,11179,Shaikpet        ,14,UnKnown,east,Yes,3BHK,Apartment
155,1980,51.99,2626,Shamshabad        ,15,Avvaru Yedukondalu,east,UnKnown,Plot,Plot
156,1890,141.0,7480,Chintalakunta        ,2,Shilpi Tiwari,north east,Yes,3BHK,Apartment
157,1833,120.0,6600,Yella Reddy Guda-Yousufguda        ,2,Sreekanth,east,Yes,3BHK,Apartment
158,1892,137.0,7260,Madhapur        ,2,Sivamrithpv,north east,No,3BHK,Apartment
159,1800,113.0,6300,Venkat Reddy Colony        ,2,Udaykumar,east,No,3BHK,Apartment
160,1895,135.0,7126,Vengal Rao Nagar        ,2,Vara.Bommana,north east,Yes,3BHK,Apartment
161,2695,201.0,7469,Shanthi Nagar        ,2,G Sivakumar,east,Yes,3BHK,Apartment
162,2695,201.0,7469,Borabanda        ,2,Rithusha,east,Yes,3BHK,Apartment
163,1840,99.36,5400,Suchitra Road        ,2,Geoson George,north,No,2BHK,Apartment
164,5910,1000.0,16920,Jubilee Hills        ,9,Marketing Team,north east,Yes,4BHK,Apartment
165,1503,26.5,1763,Kandukur        ,3,vanivas1017,east,UnKnown,Plot,Plot
166,1503,26.5,1763,Kadthal        ,3,vanivas1017,east,UnKnown,Plot,Plot
167,1800,32.0,1778,Kadthal        ,12,Yadavalligopi,east,UnKnown,Plot,Plot
168,1485,26.4,1778,Kadthal        ,12,Yadavalligopi,east,UnKnown,Plot,Plot
169,1500,33.0,2200,Chegur Road        ,11,Yadavalligopi,north east,UnKnown,Plot,Plot
170,1840,121.0,6600,Suchitra Road        ,2,Somashekar T,east,No,2BHK,Apartment
171,2300,258.0,11252,Toli Chowki        ,2,Arun,east,No,3BHK,Apartment
172,1900,125.0,6600,Bhavani Nagar        ,2,Sharmevs,east,Yes,3BHK,Apartment
173,1895,165.0,8710,Rajeev Nagar        ,2,Charan,east,No,3BHK,Apartment
174,1500,26.0,1733,Kadthal        ,3,Yadavalligopi,east,UnKnown,Plot,Plot
175,2610,265.0,10169,Samata Colony        ,2,Merina,east,Yes,3BHK,Apartment
176,2300,258.0,11252,Samata Colony        ,2,Chitra Balakrishnan,west,Yes,3BHK,Apartment
177,2610,265.0,10169,Toli Chowki        ,2,Vasanth,north east,No,3BHK,Apartment
178,2000,144.0,7200,Sathya Reddy Colony        ,2,Pavan Ragh,north east,Yes,3BHK,Apartment
179,3000,229.0,7649,Mumbai Highway        ,2,Ullas V,east,Yes,4BHK,Apartment
180,1647,29.28,1778,Sultanpur        ,3,Mazhar Ullah,north,UnKnown,Plot,Plot
181,975,42.75,4385,Kukatpally        ,27,Artheika,north east,Yes,2BHK,Apartment
182,1148,80.36,7000,Nagole        ,10,Paanchali,east,Yes,3BHK,Apartment
183,1541,116.0,7581,Bolligudem        ,11,Shekh Sana,north east,No,3BHK,Apartment
184,1800,26.0,1444,Kadthal        ,31,dreamfortuneindia,north east,UnKnown,Plot,Plot
185,3000,229.0,7649,Mumbai Highway        ,2,Ullas V,north east,No,4BHK,Apartment
186,1036,118.0,11390,Chanda Nagar        ,11,Sivashanakar,north east,Yes,2BHK,Apartment
187,976,60.0,6148,Miyapur        ,6,Yadavalligopi,east,Yes,2BHK,Apartment
188,2825,450.0,15929,Somajiguda        ,10,Marketing Team,east,Yes,3BHK,Apartment
189,3585,600.0,16736,Jubilee Hills        ,10,Marketing Team,east,Yes,3BHK,Apartment
190,3278,524.0,15985,Somajiguda        ,10,Marketing Team,east,No,4BHK,Apartment
191,1346,115.0,8544,Rajendra Nagar        ,10,Marketing Team,north east,No,3BHK,Apartment
192,1800,54.0,3000,Kandi        ,2,SRR Fortune Infra Developers LLP,east,UnKnown,Plot,Plot
193,1800,16.99,944,Warangal highway        ,2,sravana,north,UnKnown,Plot,Plot
194,1980,18.69,944,Warangal highway        ,2,sravana,east,UnKnown,Plot,Plot
195,1800,54.0,3000,Kandi        ,2,SRR Fortune Infra Developers LLP,east,UnKnown,Plot,Plot
196,1396,150.0,10745,Ramanthapur        ,4,Sunil Kumar Singh,east,Yes,3BHK,Apartment
197,800,50.0,6250,Hayat Nagar        ,4,Sunil Kumar Singh,north east,No,2BHK,Apartment
198,1040,58.5,5625,Vanasthalipuram        ,4,Sunil Kumar Singh,east,Yes,3BHK,Apartment
199,1232,129.0,10471,Narsingi        ,2,Propmart Technologies Ltd,north,Yes,3BHK,Apartment
200,4213,630.0,14954,Kokapet        ,2,Propmart Technologies Ltd,east,No,4BHK,Apartment
201,1320,55.44,4200,Gundlapochampally        ,2,Pavan,west,Yes,2BHK,Apartment
202,1946,203.0,10432,Rajendra Nagar        ,2,Propmart Technologies Ltd,north east,Yes,3BHK,Apartment
203,1792,187.0,10471,Narsingi        ,2,Propmart Technologies Ltd,north east,Yes,3BHK,Apartment
204,1722,243.00000000000003,14169,Kokapet        ,2,Propmart Technologies Ltd,north east,Yes,3BHK,Apartment
205,3020,460.0,15261,Kokapet        ,2,Propmart Technologies Ltd,east,Yes,4BHK,Apartment
206,2686,301.0,11206,Rajendra Nagar        ,2,Propmart Technologies Ltd,west,Yes,4BHK,Apartment
207,2112,275.0,13021,Kokapet        ,2,Propmart Technologies Ltd,south,No,3BHK,Apartment
208,2710,300.0,11070,Kondapur        ,9,Marketing Team,east,Yes,3BHK,Apartment
209,1120,126.0,11250,Kokapet        ,3,K P Raju,east,Yes,3BHK,Apartment
210,1884,177.0,9395,Tellapur        ,8,SR Reddy,east,Yes,3BHK,Apartment
211,1260,78.76,6251,Nagole        ,30,Vicky Sinha,east,Yes,3BHK,Apartment
212,864,45.0,5208,Gandhi Nagar-Kavadiguda        ,12,Sunil Gujar,west,No,2BHK,Apartment
213,1180,97.35,8250,Subhodaya Colony        ,17,Shashi Malhotra,west,Yes,3BHK,Apartment
214,1448,68.52,4732,Sri Sai Nagar-Nacharam        ,11,Mukya,east,Yes,3BHK,Apartment
215,2000,105.0,5250,Bachupally        ,5,OWNER,east,Yes,3BHK,Apartment
216,1620,15.29,944,Warangal highway        ,2,sravana,east,UnKnown,Plot,Plot
217,1240,95.0,7661,Nagole        ,3,vanivas1017,east,Yes,3BHK,Apartment
218,3600,495.0,13750,Kollur        ,3,House2home Property Solutions,north east,No,4BHK,Villa
219,4400,605.0,13750,Kollur        ,3,House2home Property Solutions,north,No,4BHK,Villa
220,3600,495.0,13750,Kollur        ,3,House2home Property Solutions,east,Yes,4BHK,Villa
221,4518,1000.0,22134,Kollur        ,3,YONAH PROPERTIES,east,Yes,4BHK,Villa
222,3600,495.0,13750,Kollur        ,3,House2home Property Solutions,north,Yes,4BHK,Villa
223,1515,63.63,4200,Kompally        ,2,Pavan,east,No,3BHK,Apartment
224,1515,63.63,4200,Gundlapochampalli        ,2,Pavan,east,No,3BHK,Apartment
225,1156,74.0,6401,Pragathi Nagar-Kukatpally        ,2,boorlaravinder108,east,Yes,2BHK,Apartment
226,1156,72.0,6228,Pragathi Nagar-Kukatpally        ,2,boorlaravinder108,east,No,2BHK,Apartment
227,1825,76.65,4200,Kompally        ,2,Pavan,east,Yes,3BHK,Apartment
228,2250,35.0,1556,Kadthal        ,2,sk ameerbasha,north east,UnKnown,Plot,Plot
229,1800,28.0,1556,Kadthal        ,2,Ameer Basha,west,UnKnown,Plot,Plot
230,1503,24.0,1597,Bibinagar        ,2,Ameer Basha,east,UnKnown,Plot,Plot
231,1800,44.0,2444,Maheshwaram        ,2,Ameer Basha,east,UnKnown,Plot,Plot
232,1350,21.0,1556,Kadthal        ,2,Ameer Basha,east,UnKnown,Plot,Plot
233,1485,26.5,1785,Kadthal        ,11,Yadavalligopi,north east,UnKnown,Plot,Plot
234,1800,16.0,889,Kadthal        ,3,dreamfortuneindia,east,UnKnown,Plot,Plot
235,3600,100.0,2778,Shankarpalli        ,4,Pranav Khan,east,UnKnown,Plot,Plot
236,1710,47.5,2778,Shankarpalli        ,4,Ankit Rao,east,UnKnown,Plot,Plot
237,1800,50.0,2778,Shankarpalli        ,4,Mona Saxena,east,UnKnown,Plot,Plot
238,2700,21.0,778,Srisailam Highway        ,4,Charu Verma,north,UnKnown,Plot,Plot
239,1755,48.75,2778,Shankarpalli        ,4,Amita Shah,east,UnKnown,Plot,Plot
240,1647,29.28,1778,Sultanpur        ,3,Mazhar Ullah,east,UnKnown,Plot,Plot
241,1300,70.2,5400,Leelanagar        ,10,Siddharth Rao,east,Yes,2BHK,Apartment
242,1228,126.0,10313,Premnagar-Amberpet        ,17,Jyoti Singh,north east,Yes,3BHK,Apartment
243,1354,55.4,4092,Muthangi        ,21,Isika,east,No,3BHK,Apartment
244,1800,113.0,6300,Serilingampally        ,10,Nikhil,east,No,3BHK,Apartment
245,1800,40.0,2222,Hyderabad - Warangal Hwy        ,12,suneethagonamanda,west,UnKnown,Plot,Plot
246,1320,100.0,7576,Nagole        ,3,vanivas1017,east,Yes,3BHK,Villa
247,1112,105.0,9442,Tellapur        ,8,SR Reddy,south,Yes,2BHK,Apartment
248,2160,202.0,9375,Tellapur        ,8,SR Reddy,north east,Yes,4BHK,Apartment
249,1884,177.0,9395,Tellapur        ,8,SR Reddy,north east,Yes,3BHK,Apartment
250,1600,150.0,9375,Tellapur        ,8,SR Reddy,east,Yes,3BHK,Apartment
251,1300,122.0,9385,Tellapur        ,8,SR Reddy,east,Yes,3BHK,Apartment
252,2100,142.0,6762,Kapra        ,2,subrahmanyam,east,Yes,3BHK,Villa
253,1800,205.0,11389,Kapra        ,2,subrahmanyam,east,Yes,3BHK,Villa
254,2100,143.0,6810,Kapra        ,2,subrahmanyam,east,Yes,3BHK,Villa
255,1420,192.0,13521,Gachibowli        ,20,genuine properties properties,east,Yes,3BHK,Apartment
256,1394,210.0,15065,Nanakramguda        ,20,genuine properties properties,east,Yes,3BHK,Apartment
257,1500,41.0,2733,Tukkuguda        ,5,Yadavalligopi,east,UnKnown,Plot,Plot
258,1485,40.0,2694,Tukkuguda        ,5,Yadavalligopi,north east,UnKnown,Plot,Plot
259,976,70.0,7172,Bachupally        ,6,Yadavalligopi,north east,Yes,2BHK,Apartment
260,1350,15.0,1111,Kadthal        ,12,suneethagonamanda,east,UnKnown,Plot,Plot
261,1800,24.0,1333,Vijayawada Highway        ,12,suneethagonamanda,east,UnKnown,Plot,Plot
262,1800,40.0,2222,Sadashivpet        ,12,suneethagonamanda,east,UnKnown,Plot,Plot
263,1350,18.0,1333,Vijayawada Highway        ,12,suneethagonamanda,north,UnKnown,Plot,Plot
264,1800,40.0,2222,Yadagirigutta        ,12,suneethagonamanda,north east,UnKnown,Plot,Plot
265,1800,50.0,2778,Shadnagar        ,12,suneethagonamanda,north east,UnKnown,Plot,Plot
266,1800,20.0,1111,Kadthal        ,12,suneethagonamanda,east,UnKnown,Plot,Plot
267,1485,24.75,1667,Kadthal        ,3,Srikanth,east,UnKnown,Plot,Plot
268,1500,22.54,1503,Ibrahimpatnam        ,8,Asha,north,UnKnown,Plot,Plot
269,1467,225.0,15337,Gachibowli        ,20,genuine properties properties,north east,Yes,3BHK,Apartment
270,920,82.0,8913,Chanda Nagar        ,4,Asha,east,Yes,2BHK,Apartment
271,1350,47.25,3500,Kongara Kalan        ,24,Vijay Meshram,east,UnKnown,Plot,Plot
272,720,55.0,7639,Picket        ,10,Vitthal,east,Yes,2BHK,Apartment
273,960,59.4,6188,Karmanghat        ,17,Sarita Sekhar,north east,Yes,2BHK,Apartment
274,1196,56.4,4716,Widia Colony        ,18,Harshini Joshi,north east,No,3BHK,Apartment
275,1350,20.25,1500,Ibrahimpatnam        ,8,Asha,east,UnKnown,Plot,Plot
276,43560,40.0,92,Shankarpalli        ,11,vanivas1017,east,UnKnown,Plot,Plot
277,1032,72.0,6977,Mallampet        ,9,Asha,east,No,2BHK,Apartment
278,1476,139.0,9417,Tellapur        ,8,SR Reddy,east,No,3BHK,Apartment
279,1350,36.0,2667,Kandukur        ,8,Asha,east,UnKnown,Plot,Plot
280,1350,38.0,2815,Shankarpalli        ,8,Asha,east,UnKnown,Plot,Plot
281,1485,40.0,2694,Kandukur        ,8,Asha,east,UnKnown,Plot,Plot
282,1800,34.4,1911,Kadthal        ,14,daya,east,UnKnown,Plot,Plot
283,1460,165.0,11301,Chanda Nagar        ,13,Sivashanakar,south,Yes,3BHK,Apartment
284,1356,150.0,11062,Chanda Nagar        ,10,Sivashanakar,east,Yes,3BHK,Apartment
285,1503,66.8,4444,Vanasthalipuram        ,2,Laxman,north,UnKnown,Plot,Plot
286,958,58.91,6149,Adibatla        ,3,RAVULA RAMBABU,east,No,2BHK,Apartment
287,1076,126.0,11710,Kokapet        ,17,Aadhya Agarwal,east,Yes,2BHK,Apartment
288,1600,175.0,10938,Kondapur        ,17,Varsha Patel,east,Yes,3BHK,Apartment
289,1585,140.0,8833,Bachupally        ,17,Swarnava Singh,north east,Yes,3BHK,Apartment
290,1368,162.0,11875,Puppalaguda        ,17,Deepa Shah,north,Yes,3BHK,Apartment
